# Energy Eigenvalues:,3.430479,13.540898,29.585924,48.373712
# Position x, Psi 1,Psi 2,Psi 3,Psi 4
-1.193693693693693714e+00,4.107290263069763225e-04,1.743319215945170935e-03,1.097366300850724681e-02,1.963144504168155835e-01
-1.190690690690690667e+00,4.228673047031611420e-04,1.789057101555771752e-03,1.119450382733046603e-02,1.984170216854798385e-01
-1.187687687687687621e+00,4.353607622049220950e-04,1.835971432342715925e-03,1.141946634353078506e-02,2.005254128873567854e-01
-1.184684684684684797e+00,4.482198924470493927e-04,1.884093058153162286e-03,1.164863338591659234e-02,2.026396858654059552e-01
-1.181681681681681750e+00,4.614554962039908660e-04,1.933453622725336048e-03,1.188208933135828475e-02,2.047599026351123452e-01
-1.178678678678678704e+00,4.750786904617425028e-04,1.984085584496727943e-03,1.211992013585472261e-02,2.068861253863021610e-01
-1.175675675675675658e+00,4.891009177553430924e-04,2.036022237948062908e-03,1.236221336618133215e-02,2.090184164849668014e-01
-1.172672672672672611e+00,5.035339557798113258e-04,2.089297735497042553e-03,1.260905823213134651e-02,2.111568384750937832e-01
-1.169669669669669787e+00,5.183899272825884556e-04,2.143947109956230532e-03,1.286054561936187529e-02,2.133014540805009129e-01
-1.166666666666666741e+00,5.336813102458021815e-04,2.200006297569870230e-03,1.311676812285703965e-02,2.154523262066759814e-01
-1.163663663663663694e+00,5.494209483669059563e-04,2.257512161644791883e-03,1.337782008102052222e-02,2.176095179426229542e-01
-1.160660660660660648e+00,5.656220618464860486e-04,2.316502516790900669e-03,1.364379761040983470e-02,2.197730925627102427e-01
-1.157657657657657602e+00,5.822982584923137904e-04,2.377016153787263764e-03,1.391479864112551978e-02,2.219431135285286072e-01
-1.154654654654654777e+00,5.994635451489550067e-04,2.439092865090078041e-03,1.419092295286792857e-02,2.241196444907515295e-01
-1.151651651651651731e+00,6.171323394625467763e-04,2.502773470999331788e-03,1.447227221167508154e-02,2.263027492910032190e-01
-1.148648648648648685e+00,6.353194819906121020e-04,2.568099846501334643e-03,1.475895000735492728e-02,2.284924919637291718e-01
-1.145645645645645638e+00,6.540402486670975936e-04,2.635114948804807324e-03,1.505106189162605350e-02,2.306889367380756672e-01
-1.142642642642642592e+00,6.733103636331032186e-04,2.703862845588646431e-03,1.534871541698091743e-02,2.328921480397764254e-01
-1.139639639639639768e+00,6.931460124440574563e-04,2.774388743979838267e-03,1.565202017628529799e-02,2.351021904930391815e-01
-1.136636636636636721e+00,7.135638556644551553e-04,2.846739020280675617e-03,1.596108784312918333e-02,2.373191289224403644e-01
-1.133633633633633675e+00,7.345810428615733327e-04,2.920961250464816986e-03,1.627603221294384936e-02,2.395430283548271866e-01
-1.130630630630630629e+00,7.562152270099181022e-04,2.997104241462227384e-03,1.659696924490019695e-02,2.417739540212262839e-01
-1.127627627627627582e+00,7.784845793184959209e-04,3.075218063253565802e-03,1.692401710460369677e-02,2.440119713587572681e-01
-1.124624624624624758e+00,8.014078044933617591e-04,3.155354081795107984e-03,1.725729620760170502e-02,2.462571460125515255e-01
-1.121621621621621490e+00,8.250041564482737738e-04,3.237564992795898076e-03,1.759692926371918958e-02,2.485095438376783983e-01
