# Energy Eigenvalues:,4.934802,19.739209,44.413221,78.956839,123.370071
# Position x, Psi 1,Psi 2,Psi 3,Psi 4,Psi 5
-4.096989966555183993e-01,3.958370518145185590e-01,7.600304416986577438e-01,1.063466138546630635e+00,1.281887152861631352e+00,1.397832671500710111e+00
-4.063545150501672309e-01,4.100801519431149789e-01,7.849226063642043005e-01,1.092317599677576467e+00,1.305851050921814860e+00,1.407174295554984633e+00
-4.030100334448160626e-01,4.242779808595532054e-01,8.094681713032242376e-01,1.120083853148539088e+00,1.327508695351012902e+00,1.412633116366053265e+00
-3.996655518394648943e-01,4.384289711801839240e-01,8.336562978852266603e-01,1.146737313437745653e+00,1.346821836747964962e+00,1.414194071460413538e+00
-3.963210702341137259e-01,4.525315606921518907e-01,8.574763053144367486e-01,1.172251500573389338e+00,1.363756366320422631e+00,1.411852853710003242e+00
-3.929765886287625576e-01,4.665841925258579215e-01,8.809176753461350762e-01,1.196601066441240979e+00,1.378282376124429609e+00,1.405615923216814611e+00
-3.896321070234113892e-01,4.805853153268311861e-01,9.039700569312174583e-01,1.219761819967772221e+00,1.390374211884512823e+00,1.395500489487592199e+00
-3.862876254180602209e-01,4.945333834269925455e-01,9.266232707869275220e-01,1.241710751153767944e+00,1.400010518301503915e+00,1.381534463947792890e+00
-3.829431438127090526e-01,5.084268570152900013e-01,9.488673138917408378e-01,1.262426053934552872e+00,1.407174276767971133e+00,1.363756382925841670e+00
-3.795986622073578287e-01,5.222642023076879969e-01,9.706923639024188644e-01,1.281887147844118946e+00,1.411852835424651342e+00,1.342215301320185850e+00
-3.762541806020066604e-01,5.360438917164902506e-01,9.920887834912766046e-01,1.300074698461632483e+00,1.414037931504803280e+00,1.316970657242559462e+00
-3.729096989966554920e-01,5.497644040189805237e-01,1.013047124601758719e+00,1.316970636620006685e+00,1.413725705927015852e+00,1.288092108010936654e+00
-3.695652173913043237e-01,5.634242245253587855e-01,1.033558132620432168e+00,1.332558176357455659e+00,1.410916710110703853e+00,1.255659337944724951e+00
-3.662207357859531554e-01,5.770218452459568992e-01,1.053612750463565284e+00,1.346821831594195995e+00,1.405615905002247867e+00,1.219761838492545047e+00
-3.628762541806019870e-01,5.905557650577150097e-01,1.073202122576479622e+00,1.359747431517725813e+00,1.397832652313505397e+00,1.180498661299286267e+00
-3.595317725752508187e-01,6.040244898698994280e-01,1.092317598843913773e+00,1.371322134661400849e+00,1.387580697988162637e+00,1.137978144893801558e+00
-3.561872909698996503e-01,6.174265327890441357e-01,1.110950738409671512e+00,1.381534441662313206e+00,1.374878147925126415e+00,1.092317615751386306e+00
-3.528428093645484820e-01,6.307604142830980365e-01,1.129093313403865206e+00,1.390374206685806246e+00,1.359747436001833565e+00,1.043643064555899835e+00
-3.494983277591973136e-01,6.440246623447589691e-01,1.146737312576112666e+00,1.397832647505268033e+00,1.342215284453950108e+00,9.920887985548135779e-01
-3.461538461538461453e-01,6.572178126539784948e-01,1.163874944833078517e+00,1.403902354227195781e+00,1.322312656681433163e+00,9.377970709664420479e-01
