# Energy Eigenvalues:,4.740917,18.959082,42.640741,75.762981,118.293760,170.191932,231.407289,301.880609,381.543713,470.319533
# Position x, Psi 1,Psi 2,Psi 3,Psi 4,Psi 5,Psi 6,Psi 7,Psi 8,Psi 9,Psi 10
-6.565656565656563526e-02,1.371634820674787703e+00,-5.508837530584687059e-01,1.150486349085209747e+00,1.013029020781974765e+00,-7.437794127297682190e-01,-1.311963191803631190e+00,-2.169796318222680931e-01,1.399458390490215143e+00,-3.450862403939615741e-01,1.261301324579122696e+00
-5.555555555555552472e-02,1.379715404866353134e+00,-4.697887923131471299e-01,1.219856153129340370e+00,8.852153938555556989e-01,-9.186110641529260379e-01,-1.198189819929301958e+00,-5.107997641213657403e-01,1.372446125060957201e+00,4.357715683196143608e-02,1.387735559736241742e+00
-4.545454545454541417e-02,1.386461203511218043e+00,-3.868763099949150130e-01,1.278611617873236961e+00,7.437161109681467153e-01,-1.071268252388881681e+00,-1.042803910443609094e+00,-7.804993396067073652e-01,1.260888431238866403e+00,4.288477185867520247e-01,1.380983560737221172e+00
-3.535353535353530363e-02,1.391865690484860751e+00,-3.024670783906850957e-01,1.326241494152858635e+00,5.907187871541937918e-01,-1.198065967172792456e+00,-8.512019388425022814e-01,-1.013342831776377073e+00,1.071657486257333813e+00,7.807290035480741741e-01,1.241693342481869022e+00
-2.525252525252519309e-02,1.395923637295183539e+00,-2.168876604195918989e-01,1.362331339932267849e+00,4.285888000960183519e-01,-1.295943423186025178e+00,-6.300381464799427178e-01,-1.198335101094139210e+00,8.164102950920131274e-01,1.071824196686263386e+00,9.832331144205149753e-01
-1.515151515151513806e-02,1.398631118140721830e+00,-1.304691462244913225e-01,1.386567126489784307e+00,2.598327207810180450e-01,-1.362537944721830208e+00,-3.869934420691241717e-01,-1.326740598220300438e+00,5.108705956216318400e-01,1.279469173754675948e+00,6.304082828952473072e-01
-5.050505050505027516e-03,1.399985513708621676e+00,-4.354587224852302096e-02,1.398737970877395043e+00,8.705956127435007796e-02,-1.396241998598989120e+00,-1.305086475360230092e-01,-1.392495866774932090e+00,1.738602449020349439e-01,1.387497087376912575e+00,2.170807824064405755e-01
5.050505050505083027e-03,1.399985513708642770e+00,4.354587224764061570e-02,1.398737970877391712e+00,-8.705956127361355601e-02,-1.396241998598998002e+00,1.305086475357002951e-01,-1.392495866774892566e+00,-1.738602449023095020e-01,1.387497087376969196e+00,-2.170807824064636682e-01
1.515151515151524908e-02,1.398631118140780005e+00,1.304691462236120258e-01,1.386567126489770096e+00,-2.598327207802922922e-01,-1.362537944721851524e+00,3.869934420688118104e-01,-1.326740598220179423e+00,-5.108705956218883015e-01,1.279469173754837819e+00,-6.304082828952668471e-01
2.525252525252530411e-02,1.395923637295277020e+00,2.168876604187192914e-01,1.362331339932240093e+00,-4.285888000953147481e-01,-1.295943423186055599e+00,6.300381464796517283e-01,-1.198335101093939370e+00,-8.164102950922358382e-01,1.071824196686515407e+00,-9.832331144205291862e-01
3.535353535353535914e-02,1.391865690485004192e+00,3.024670783898247839e-01,1.326241494152839984e+00,-5.907187871535277690e-01,-1.198065967172845081e+00,8.512019388422494837e-01,-1.013342831776120390e+00,-1.071657486257518110e+00,7.807290035484077961e-01,-1.241693342481887008e+00
4.545454545454552520e-02,1.386461203511414331e+00,3.868763099940706329e-01,1.278611617873231188e+00,-7.437161109675294313e-01,-1.071268252388959175e+00,1.042803910443404591e+00,-7.804993396064101585e-01,-1.260888431239002960e+00,4.288477185871447661e-01,-1.380983560737243598e+00
5.555555555555558023e-02,1.379715404866608264e+00,4.697887923123242326e-01,1.219856153129353249e+00,-8.852153938550011425e-01,-9.186110641530311760e-01,1.198189819929159183e+00,-5.107997641210444417e-01,-1.372446125061044242e+00,4.357715683238252286e-02,-1.387735559736272606e+00
6.565656565656574628e-02,1.371634820675107669e+00,5.508837530576720098e-01,1.150486349085246829e+00,-1.013029020781494483e+00,-7.437794127299034441e-01,1.311963191803558804e+00,-2.169796318219418541e-01,-1.399458390490252224e+00,-3.450862403935420764e-01,-1.261301324579166439e+00
7.575757575757580131e-02,1.362227268380237222e+00,6.298474515810795760e-01,1.071105813498614001e+00,-1.125180960447298650e+00,-5.509935804237202639e-01,1.380172733343570934e+00,8.708653014358347377e-02,-1.340261217908415237e+00,-7.068818719797484995e-01,-1.013815227359250226e+00
8.585858585858585634e-02,1.351501849181268922e+00,7.063743926730171596e-01,9.824052605461992549e-01,-1.219937315235771536e+00,-3.449072476747805371e-01,1.400449561033768386e+00,3.870403652335184796e-01,-1.198501271635679100e+00,-1.013641010515236696e+00,-6.690294455454017797e-01
9.595959595959602240e-02,1.339468939228582345e+00,7.801685084650717972e-01,8.851565007097009774e-01,-1.295833127713098776e+00,-1.304951573065198656e-01,1.372089470714785264e+00,6.687177057465820695e-01,-9.829112481092414644e-01,-1.241479966425437675e+00,-2.600343756099048331e-01
1.060606060606060774e-01,1.326140179585417522e+00,8.509443038590157604e-01,7.802057250181020365e-01,-1.351695029244188495e+00,8.706697139104127570e-02,1.296077394244182779e+00,9.188174212355392223e-01,-7.067719243034626952e-01,-1.372659627122104764e+00,1.739171775659637542e-01
1.161616161616162435e-01,1.311528464965894036e+00,9.184279610518776282e-01,6.684661420822269884e-01,-1.386659380571298561e+00,3.025273799730137658e-01,1.175053193301994758e+00,1.125529513301240847e+00,-3.870940352854266298e-01,-1.396966590945755371e+00,5.911772409456929056e-01
1.262626262626262985e-01,1.295647931260228924e+00,9.823583988838415770e-01,5.509100319889620456e-01,-1.400185623897447051e+00,5.106850436696733775e-01,1.013219978305147206e+00,1.279092797403328374e+00,-4.357037888612615845e-02,-1.312508363409561341e+00,9.516997869447006986e-01
1.363636363636364646e-01,1.278513941859156011e+00,1.042488282910522646e+00,4.285602861965716048e-01,-1.392064640047921742e+00,7.065152195501998023e-01,8.161981364692684204e-01,1.372255837306191273e+00,3.026373000630604437e-01,-1.125860703260673112e+00,1.220884102269225169e+00
1.464646464646465196e-01,1.260143072790854912e+00,1.098584982291897383e+00,3.024815070451050691e-01,-1.362421981506124702e+00,8.852907393978625139e-01,5.908301385509143744e-01,1.400619366301520063e+00,6.302019155693422414e-01,-8.515556462718539832e-01,1.372895549332569853e+00
