# Energy Eigenvalues:,2.827029,10.796689
# Position x, Psi 1,Psi 2
-1.100600600600600609e+00,1.336707317675238892e-02,-6.284642515074281843e-02
-1.097597597597597563e+00,1.360864981734788773e-02,-6.371429724377340731e-02
-1.094594594594594517e+00,1.385444150078370476e-02,-6.459274536276417289e-02
-1.091591591591591470e+00,1.410452435676343153e-02,-6.548191532255641378e-02
-1.088588588588588646e+00,1.435897584410682389e-02,-6.638195471772502521e-02
-1.085585585585585600e+00,1.461787477474116477e-02,-6.729301294707712433e-02
-1.082582582582582553e+00,1.488130133811189221e-02,-6.821524123845106036e-02
-1.079579579579579507e+00,1.514933712602023648e-02,-6.914879267382048611e-02
-1.076576576576576461e+00,1.542206515789464223e-02,-7.009382221470368546e-02
-1.073573573573573636e+00,1.569956990650454506e-02,-7.105048672788553954e-02
-1.070570570570570590e+00,1.598193732412416315e-02,-7.201894501145540695e-02
-1.067567567567567544e+00,1.626925486915518915e-02,-7.299935782116818983e-02
-1.064564564564564497e+00,1.656161153321532992e-02,-7.399188789712771164e-02
-1.061561561561561451e+00,1.685909786870192287e-02,-7.499669999080017802e-02
-1.058558558558558627e+00,1.716180601683880286e-02,-7.601396089236066300e-02
-1.055555555555555580e+00,1.746982973621544893e-02,-7.704383945837908754e-02
-1.052552552552552534e+00,1.778326443182726493e-02,-7.808650663984957607e-02
-1.049549549549549488e+00,1.810220718462535183e-02,-7.914213551056577256e-02
-1.046546546546546441e+00,1.842675678158606917e-02,-8.021090129585149719e-02
-1.043543543543543617e+00,1.875701374630832016e-02,-8.129298140164534225e-02
-1.040540540540540571e+00,1.909308037014899317e-02,-8.238855544394876884e-02
-1.037537537537537524e+00,1.943506074390594085e-02,-8.349780527864057722e-02
-1.034534534534534478e+00,1.978306079005822879e-02,-8.462091503166341289e-02
-1.031531531531531432e+00,2.013718829557379492e-02,-8.575807112958697132e-02
-1.028528528528528607e+00,2.049755294529485850e-02,-8.690946233055435455e-02
-1.025525525525525561e+00,2.086426635591060938e-02,-8.807527975561316169e-02
-1.022522522522522515e+00,2.123744211052853645e-02,-8.925571692043993144e-02
-1.019519519519519468e+00,2.161719579385480358e-02,-9.045096976746193340e-02
-1.016516516516516422e+00,2.200364502799485172e-02,-9.166123669838303900e-02
-1.013513513513513598e+00,2.239690950888474294e-02,-9.288671860711643358e-02
-1.010510510510510551e+00,2.279711104336495930e-02,-9.412761891313145557e-02
-1.007507507507507505e+00,2.320437358690747437e-02,-9.538414359521764363e-02
-1.004504504504504458e+00,2.361882328200914233e-02,-9.665650122567670532e-02
-1.001501501501501412e+00,2.404058849726208730e-02,-9.794490300494354540e-02
-9.984984984984984768e-01,2.446979986711403030e-02,-9.924956279664526315e-02
-9.954954954954955415e-01,2.490659033232973246e-02,-1.005706971630994512e-01
-9.924924924924924952e-01,2.535109518116668292e-02,-1.019085254012600666e-01
-9.894894894894894488e-01,2.580345209127874948e-02,-1.032632695791207006e-01
-9.864864864864865135e-01,2.626380117235959863e-02,-1.046351545725765220e-01
-9.834834834834834671e-01,2.673228500953892667e-02,-1.060244081027505447e-01
-9.804804804804805318e-01,2.720904870754585134e-02,-1.074312607737940017e-01
-9.774774774774774855e-01,2.769423993565229766e-02,-1.088559461111632681e-01
-9.744744744744744391e-01,2.818800897341126530e-02,-1.102987006003843667e-01
-9.714714714714715038e-01,2.869050875720331739e-02,-1.117597637263075538e-01
-9.684684684684684575e-01,2.920189492760608824e-02,-1.132393780128601174e-01
-9.654654654654655221e-01,2.972232587760079495e-02,-1.147377890633016206e-01
-9.624624624624624758e-01,3.025196280163211168e-02,-1.162552456009933732e-01
-9.594594594594594295e-01,3.079096974553511765e-02,-1.177919995106835455e-01
-9.564564564564564941e-01,3.133951365734590627e-02,-1.193483058803189722e-01
-9.534534534534534478e-01,3.189776443901073955e-02,-1.209244230433869222e-01
-9.504504504504504014e-01,3.246589499900974507e-02,-1.225206126217946723e-01
-9.474474474474474661e-01,3.304408130591314496e-02,-1.241371395692995594e-01
-9.444444444444444198e-01,3.363250244288400886e-02,-1.257742722154871762e-01
-9.414414414414414845e-01,3.423134066314614810e-02,-1.274322823103120617e-01
-9.384384384384384381e-01,3.484078144643374536e-02,-1.291114450692050775e-01
-9.354354354354353918e-01,3.546101355644084435e-02,-1.308120392187581693e-01
-9.324324324324324564e-01,3.609222909928731793e-02,-1.325343470429896642e-01
-9.294294294294294101e-01,3.673462358302080621e-02,-1.342786544302023155e-01
-9.264264264264264748e-01,3.738839597817127797e-02,-1.360452509204358451e-01
-9.234234234234234284e-01,3.805374877937955924e-02,-1.378344297535313290e-01
-9.204204204204203821e-01,3.873088806811572637e-02,-1.396464879178037910e-01
-9.174174174174174468e-01,3.942002357650963712e-02,-1.414817261993405739e-01
-9.144144144144144004e-01,4.012136875231197414e-02,-1.433404492319301782e-01
-9.114114114114114651e-01,4.083514082500569464e-02,-1.452229655476278691e-01
-9.084084084084084187e-01,4.156156087308902208e-02,-1.471295876279689330e-01
-9.054054054054053724e-01,4.230085389255057449e-02,-1.490606319558375747e-01
-9.024024024024024371e-01,4.305324886655842453e-02,-1.510164190680022833e-01
-8.993993993993993907e-01,4.381897883638366520e-02,-1.529972736083217988e-01
-8.963963963963964554e-01,4.459828097358029680e-02,-1.550035243816313968e-01
-8.933933933933934091e-01,4.539139665344552738e-02,-1.570355044083235618e-01
-8.903903903903903627e-01,4.619857152978164988e-02,-1.590935509796263803e-01
-8.873873873873874274e-01,4.702005561098226982e-02,-1.611780057135887567e-01
-8.843843843843843811e-01,4.785610333746884160e-02,-1.632892146117886356e-01
-8.813813813813813347e-01,4.870697366049905191e-02,-1.654275281167657818e-01
-8.783783783783783994e-01,4.957293012237162788e-02,-1.675933011701893349e-01
-8.753753753753753530e-01,5.045424093805551263e-02,-1.697868932717804258e-01
-8.723723723723724177e-01,5.135117907826410727e-02,-1.720086685389837222e-01
-8.693693693693693714e-01,5.226402235400264690e-02,-1.742589957674056667e-01
-8.663663663663663250e-01,5.319305350261564758e-02,-1.765382484920327288e-01
-8.633633633633633897e-01,5.413856027536013277e-02,-1.788468050492356409e-01
-8.603603603603603434e-01,5.510083552653157607e-02,-1.811850486395700788e-01
-8.573573573573574080e-01,5.608017730417024643e-02,-1.835533673913838926e-01
-8.543543543543543617e-01,5.707688894237666205e-02,-1.859521544252439873e-01
-8.513513513513513153e-01,5.809127915526332564e-02,-1.883818079191887096e-01
-8.483483483483483800e-01,5.912366213257434777e-02,-1.908427311748241706e-01
-8.453453453453453337e-01,6.017435763699990892e-02,-1.933353326842682796e-01
-8.423423423423423984e-01,6.124369110321761095e-02,-1.958600261979576429e-01
-8.393393393393393520e-01,6.233199373868970883e-02,-1.984172307933254609e-01
-8.363363363363363057e-01,6.343960262624902258e-02,-2.010073709443650214e-01
-8.333333333333333703e-01,6.456686082850460195e-02,-2.036308765920889774e-01
-8.303303303303303240e-01,6.571411749409904191e-02,-2.062881832158951489e-01
-8.273273273273273887e-01,6.688172796585178936e-02,-2.089797319058536440e-01
-8.243243243243243423e-01,6.807005389082051994e-02,-2.117059694359248734e-01
-8.213213213213212960e-01,6.927946333231377318e-02,-2.144673483381158707e-01
-8.183183183183183607e-01,7.051033088389345449e-02,-2.172643269776009523e-01
-8.153153153153153143e-01,7.176303778539838696e-02,-2.200973696288053283e-01
-8.123123123123122680e-01,7.303797204102625840e-02,-2.229669465524694028e-01
-8.093093093093093326e-01,7.433552853951157224e-02,-2.258735340737089980e-01
-8.063063063063062863e-01,7.565610917643592059e-02,-2.288176146610826633e-01
-8.033033033033033510e-01,7.700012297870734157e-02,-2.317996770066742263e-01
-8.003003003003003046e-01,7.836798623124983931e-02,-2.348202161072136529e-01
-7.972972972972972583e-01,7.976012260593950964e-02,-2.378797333462394081e-01
-7.942942942942943230e-01,8.117696329283169421e-02,-2.409787365773303491e-01
-7.912912912912912766e-01,8.261894713371303878e-02,-2.441177402083999637e-01
-7.882882882882883413e-01,8.408652075802400261e-02,-2.472972652870808197e-01
-7.852852852852852950e-01,8.558013872119675514e-02,-2.505178395872203478e-01
-7.822822822822822486e-01,8.710026364544475042e-02,-2.537799976964833504e-01
-7.792792792792793133e-01,8.864736636305217687e-02,-2.570842811050901289e-01
-7.762762762762762669e-01,9.022192606220616473e-02,-2.604312382956993632e-01
-7.732732732732733316e-01,9.182443043541668737e-02,-2.638214248344500357e-01
-7.702702702702702853e-01,9.345537583057120234e-02,-2.672554034631828279e-01
-7.672672672672672389e-01,9.511526740466953733e-02,-2.707337441928484023e-01
-7.642642642642643036e-01,9.680461928028637197e-02,-2.742570243981221068e-01
-7.612612612612612573e-01,9.852395470481442596e-02,-2.778258289132503611e-01
-7.582582582582582109e-01,1.002738062125301532e-01,-2.814407501291248948e-01
-7.552552552552552756e-01,1.020547157895353857e-01,-2.851023880916103148e-01
-7.522522522522522292e-01,1.038672350416285084e-01,-2.888113506011477094e-01
-7.492492492492492939e-01,1.057119253651567642e-01,-2.925682533136493291e-01
-7.462462462462462476e-01,1.075893581208985234e-01,-2.963737198426917296e-01
-7.432432432432432012e-01,1.095001148110306549e-01,-3.002283818630245293e-01
-7.402402402402402659e-01,1.114447872592397304e-01,-3.041328792154265881e-01
-7.372372372372372196e-01,1.134239777940286853e-01,-3.080878600129124401e-01
-7.342342342342342842e-01,1.154382994352786546e-01,-3.120939807483164019e-01
-7.312312312312312379e-01,1.174883760841210351e-01,-3.161519064032644044e-01
-7.282282282282281916e-01,1.195748427161789362e-01,-3.202623105585521435e-01
