# Energy Eigenvalues:,3.108855,12.108395,25.334644
# Position x, Psi 1,Psi 2,Psi 3
-1.298798798798798781e+00,1.084506268874449886e-03,5.926322153053820846e-03,6.286902041949786468e-02
-1.295795795795795735e+00,1.111170777539237072e-03,6.054004741310843422e-03,6.391313300402995390e-02
-1.292792792792792689e+00,1.138374215298418139e-03,6.183640920289385293e-03,6.496262353405297951e-02
-1.289789789789789864e+00,1.166129776095146389e-03,6.315272522800477635e-03,6.601758031853550979e-02
-1.286786786786786818e+00,1.194450921657843690e-03,6.448942025566241874e-03,6.707809212640171437e-02
-1.283783783783783772e+00,1.223351388029292417e-03,6.584692562926963352e-03,6.814424819400187461e-02
-1.280780780780780725e+00,1.252845192228733409e-03,6.722567940760164687e-03,6.921613823261980880e-02
-1.277777777777777679e+00,1.282946639050268085e-03,6.862612650616526505e-03,7.029385243602197242e-02
-1.274774774774774855e+00,1.313670328000833380e-03,7.004871884077064348e-03,7.137748148804692883e-02
-1.271771771771771808e+00,1.345031160381105970e-03,7.149391547336163104e-03,7.246711657023582887e-02
-1.268768768768768762e+00,1.377044346512787875e-03,7.296218276015238591e-03,7.356284936950487074e-02
-1.265765765765765716e+00,1.409725413115769585e-03,7.445399450211787236e-03,7.466477208586050351e-02
-1.262762762762762669e+00,1.443090210838749842e-03,7.596983209788679345e-03,7.577297744015773495e-02
-1.259759759759759845e+00,1.477154921946944189e-03,7.751018469908506348e-03,7.688755868190116916e-02
-1.256756756756756799e+00,1.511936068170658537e-03,7.907554936818265989e-03,7.800860959709197961e-02
-1.253753753753753752e+00,1.547450518718487995e-03,8.066643123889239222e-03,7.913622451611920794e-02
-1.250750750750750706e+00,1.583715498459059047e-03,8.228334367917347972e-03,8.027049832169730337e-02
-1.247747747747747660e+00,1.620748596275258316e-03,8.392680845689221361e-03,8.141152645684963940e-02
-1.244744744744744835e+00,1.658567773595048160e-03,8.559735590819461670e-03,8.255940493294114391e-02
-1.241741741741741789e+00,1.697191373102930950e-03,8.729552510864225720e-03,8.371423033775637901e-02
-1.238738738738738743e+00,1.736638127636303203e-03,8.902186404716679741e-03,8.487609984362534665e-02
-1.235735735735735696e+00,1.776927169271101236e-03,9.077692980290446093e-03,8.604511121560143305e-02
-1.232732732732732650e+00,1.818078038601055827e-03,9.256128872496209581e-03,8.722136281968805027e-02
-1.229729729729729826e+00,1.860110694215051869e-03,9.437551661517329382e-03,8.840495363111422478e-02
-1.226726726726726779e+00,1.903045522377275678e-03,9.622019891390767507e-03,8.959598324266430935e-02
-1.223723723723723733e+00,1.946903346914745240e-03,9.809593088898827667e-03,9.079455187305751629e-02
-1.220720720720720687e+00,1.991705439317084745e-03,1.000033178277811609e-02,9.200076037538099105e-02
-1.217717717717717640e+00,2.037473529053413206e-03,1.019429752325180794e-02,9.321471024557624607e-02
-1.214714714714714816e+00,2.084229814111333411e-03,1.039155290189139325e-02,9.443650363097821909e-02
-1.211711711711711770e+00,2.131996971763204345e-03,1.059216157181474584e-02,9.566624333891164678e-02
-1.208708708708708723e+00,2.180798169564859834e-03,1.079618826822663878e-02,9.690403284534215844e-02
-1.205705705705705677e+00,2.230657076592076037e-03,1.100369882930823939e-02,9.814997630358181235e-02
-1.202702702702702631e+00,2.281597874920318278e-03,1.121476021746273602e-02,9.940417855305333505e-02
-1.199699699699699806e+00,2.333645271353321400e-03,1.142944054092382214e-02,1.006667451281129805e-01
-1.196696696696696760e+00,2.386824509406123684e-03,1.164780907573374769e-02,1.019377822669299549e-01
-1.193693693693693714e+00,2.441161381548419447e-03,1.186993628809822170e-02,1.032173969204254055e-01
-1.190690690690690667e+00,2.496682241714167413e-03,1.209589385712543999e-02,1.045056967612718601e-01
-1.187687687687687621e+00,2.553414018083528542e-03,1.232575469795656187e-02,1.058027901929537301e-01
-1.184684684684684797e+00,2.611384226143295944e-03,1.255959298529491647e-02,1.071087863588883471e-01
-1.181681681681681750e+00,2.670620982032216682e-03,1.279748417734190638e-02,1.084237951516113380e-01
-1.178678678678678704e+00,2.731153016177561080e-03,1.303950504014669484e-02,1.097479272220215768e-01
-1.175675675675675658e+00,2.793009687229678489e-03,1.328573367237817666e-02,1.110812939886920842e-01
-1.172672672672672611e+00,2.856220996301251595e-03,1.353624953052700620e-02,1.124240076472459299e-01
-1.169669669669669787e+00,2.920817601518140884e-03,1.379113345454572974e-02,1.137761811797967787e-01
-1.166666666666666741e+00,2.986830832888883510e-03,1.405046769393532811e-02,1.151379283644556606e-01
-1.163663663663663694e+00,3.054292707500078606e-03,1.431433593428670797e-02,1.165093637849053121e-01
-1.160660660660660648e+00,3.123235945044970045e-03,1.458282332428538844e-02,1.178906028400406869e-01
-1.157657657657657602e+00,3.193693983692854222e-03,1.485601650318859115e-02,1.192817617536799657e-01
-1.154654654654654777e+00,3.265700996306920931e-03,1.513400362878315059e-02,1.206829575843439140e-01
-1.151651651651651731e+00,3.339291907018445468e-03,1.541687440583353746e-02,1.220943082351059611e-01
-1.148648648648648685e+00,3.414502408165321235e-03,1.570472011502892576e-02,1.235159324635121403e-01
-1.145645645645645638e+00,3.491368977603223536e-03,1.599763364243899158e-02,1.249479498915746084e-01
-1.142642642642642592e+00,3.569928896397785850e-03,1.629570950948791216e-02,1.263904810158387182e-01
-1.139639639639639768e+00,3.650220266906233253e-03,1.659904390345558547e-02,1.278436472175202010e-01
-1.136636636636636721e+00,3.732282031257411984e-03,1.690773470851664531e-02,1.293075707727184831e-01
-1.133633633633633675e+00,3.816153990239122985e-03,1.722188153732716678e-02,1.307823748627059968e-01
-1.130630630630630629e+00,3.901876822601920477e-03,1.754158576316909579e-02,1.322681835842935416e-01
-1.127627627627627582e+00,3.989492104788732244e-03,1.786695055266286289e-02,1.337651219602727926e-01
